起始城市,起始城市缩写,到达城市,到达城市缩写,公司,航班号,起飞机场,到达机场,起飞时间,起飞时间戳,到达时间,到达时间戳,机型,起飞日期,到达日期,价格,最大折扣,满载,当前人数
北京,BJS,常州,CZX,中国国际航空公司,CA1863,首都国际机场,奔牛机场,8:15,201711170815,10:00,201711171000,733,2017/11/17,2017/11/17,3257,0.1,140,136
北京,BJS,成都,CTU,中国国际航空公司,CA4114,首都国际机场,双流国际机场,12:00,201711051200,14:45,201711051445,JET,2017/11/05,2017/11/05,1728,0.2,220,214
北京,BJS,成都,CTU,中国国际航空公司,CA422,首都国际机场,双流国际机场,13:00,201712231300,15:35,201712231535,319,2017/12/23,2017/12/23,1909,0,190,183
北京,BJS,成都,CTU,四川航空股份有限公司,3U8884,首都国际机场,双流国际机场,13:10,201711301310,15:50,201711301550,320,2017/11/30,2017/11/30,2949,0.4,130,123
北京,BJS,成都,CTU,中国国际航空公司,CA4108,首都国际机场,双流国际机场,14:00,201711261400,16:45,201711261645,757,2017/11/26,2017/11/26,3307,0.03,300,297
北京,BJS,成都,CTU,上海航空公司,FM2283,南苑机场,双流国际机场,15:55,201712261555,18:20,201712261820,738,2017/12/26,2017/12/26,2636,0,240,230
北京,BJS,成都,CTU,四川航空股份有限公司,3U8882,首都国际机场,双流国际机场,10:55,201711021055,13:50,201711021350,321,2017/11/02,2017/11/02,3548,0.2,180,170
北京,BJS,成都,CTU,中国国际航空公司,CA4116,首都国际机场,双流国际机场,15:00,201712281500,17:45,201712281745,321,2017/12/28,2017/12/28,2586,0.19,290,283
北京,BJS,成都,CTU,四川航空股份有限公司,3U8896,首都国际机场,双流国际机场,7:50,201711280750,9:55,201711280955,320,2017/11/28,2017/11/28,2180,0.5,300,290
北京,BJS,成都,CTU,中国国际航空公司,CA1405,首都国际机场,双流国际机场,8:00,201711180800,10:45,201711181045,JET,2017/11/18,2017/11/18,1867,0,190,180
北京,BJS,成都,CTU,中国南方航空(集团)公司,CZ6161,首都国际机场,双流国际机场,8:45,201712080845,11:20,201712081120,321,2017/12/08,2017/12/08,2712,0.4,160,156
北京,BJS,成都,CTU,四川航空股份有限公司,3U8886,首都国际机场,双流国际机场,15:25,201711191525,18:05,201711191805,321,2017/11/19,2017/11/19,2516,0.2,260,253
北京,BJS,成都,CTU,中国国际航空公司,CA1407,首都国际机场,双流国际机场,16:00,201712021600,18:45,201712021845,JET,2017/12/02,2017/12/02,2822,0.1,150,145
北京,BJS,成都,CTU,中国国际航空公司,CA945,首都国际机场,双流国际机场,15:30,201711121530,18:10,201711121810,757,2017/11/12,2017/11/12,1594,0.4,200,193
北京,BJS,成都,CTU,中国国际航空公司,CA4112,首都国际机场,双流国际机场,9:00,201712270900,11:45,201712271145,JET,2017/12/27,2017/12/27,1285,0,100,96
北京,BJS,成都,CTU,中国南方航空(集团)公司,CZ3903,首都国际机场,双流国际机场,16:00,201712191600,18:35,201712191835,321,2017/12/19,2017/12/19,3133,0.1,230,225
北京,BJS,成都,CTU,中国国际航空公司,CA1415,首都国际机场,双流国际机场,10:00,201712041000,12:30,201712041230,321,2017/12/04,2017/12/04,1907,0.4,230,224
北京,BJS,成都,CTU,中国国际航空公司,CA4102,首都国际机场,双流国际机场,11:00,201712071100,13:45,201712071345,321,2017/12/07,2017/12/07,2921,0.1,200,197
北京,BJS,成都,CTU,中国国际航空公司,CA4188,首都国际机场,双流国际机场,17:50,201711121750,22:00,201711122200,319,2017/11/12,2017/11/12,3225,0.4,160,155
北京,BJS,成都,CTU,中国国际航空公司,CA1425,首都国际机场,双流国际机场,17:00,201711221700,19:30,201711221930,JET,2017/11/22,2017/11/22,2966,0.3,170,160
北京,BJS,成都,CTU,中国国际航空公司,CA4110,首都国际机场,双流国际机场,19:00,201712161900,21:45,201712162145,321,2017/12/16,2017/12/16,3065,0.4,100,92
北京,BJS,成都,CTU,中国国际航空公司,CA4106,首都国际机场,双流国际机场,19:30,201711081930,22:15,201711082215,JET,2017/11/08,2017/11/08,2819,0.4,200,196
北京,BJS,成都,CTU,四川航空股份有限公司,3U8888,首都国际机场,双流国际机场,18:10,201711161810,20:50,201711162050,320,2017/11/16,2017/11/16,1991,0.3,210,201
北京,BJS,成都,CTU,四川航空股份有限公司,3U8892,首都国际机场,双流国际机场,22:20,201711032220,1:00,201711040100,321,2017/11/03,2017/11/04,3702,0.2,180,170
北京,BJS,成都,CTU,四川航空股份有限公司,3U8894,首都国际机场,双流国际机场,19:10,201711171910,21:50,201711172150,319,2017/11/17,2017/11/17,2884,0.4,150,145
北京,BJS,成都,CTU,中国国际航空公司,CA4120,首都国际机场,双流国际机场,20:00,201712022000,22:45,201712022245,757,2017/12/02,2017/12/02,2088,0.2,120,110
北京,BJS,成都,CTU,四川航空股份有限公司,3U8890,首都国际机场,双流国际机场,20:10,201711132010,23:00,201711132300,321,2017/11/13,2017/11/13,1857,0.3,160,153
北京,BJS,成都,CTU,中国国际航空公司,CA4104,首都国际机场,双流国际机场,18:00,201711141800,20:45,201711142045,JET,2017/11/14,2017/11/14,1857,0.13,270,266
北京,BJS,赤峰,CIF,中国国际航空公司,CA1281,首都国际机场,赤峰机场,14:10,201712061410,15:10,201712061510,733,2017/12/06,2017/12/06,1962,0.05,230,227
北京,BJS,重庆,CKG,中国国际航空公司,CA1439,首都国际机场,江北国际机场,13:30,201711081330,16:00,201711081600,321,2017/11/08,2017/11/08,2472,0.5,190,187
北京,BJS,重庆,CKG,中国国际航空公司,CA1411,首都国际机场,江北国际机场,14:30,201712041430,17:00,201712041700,JET,2017/12/04,2017/12/04,2884,0.3,210,206
北京,BJS,重庆,CKG,中国国际航空公司,CA4136,首都国际机场,江北国际机场,19:30,201712191930,22:00,201712192200,738,2017/12/19,2017/12/19,3500,0.5,170,163
北京,BJS,重庆,CKG,中国国际航空公司,CA1419,首都国际机场,江北国际机场,7:30,201711040730,10:00,201711041000,738,2017/11/04,2017/11/04,2069,0.3,290,283
北京,BJS,重庆,CKG,中国南方航空(集团)公司,CZ3183,首都国际机场,江北国际机场,8:10,201711210810,10:50,201711211050,321,2017/11/21,2017/11/21,1651,0.25,190,183
北京,BJS,重庆,CKG,中国国际航空公司,CA1409,首都国际机场,江北国际机场,15:30,201711211530,18:00,201711211800,JET,2017/11/21,2017/11/21,1641,0.1,110,107
北京,BJS,重庆,CKG,四川航空股份有限公司,3U8832,首都国际机场,江北国际机场,16:25,201712301625,18:55,201712301855,320,2017/12/30,2017/12/30,2455,0.3,190,181
北京,BJS,重庆,CKG,中国国际航空公司,CA1429,首都国际机场,江北国际机场,9:30,201711080930,12:00,201711081200,738,2017/11/08,2017/11/08,3916,0.18,230,226
北京,BJS,重庆,CKG,中国南方航空(集团)公司,CZ8106,首都国际机场,江北国际机场,17:20,201712111720,19:40,201712111940,319,2017/12/11,2017/12/11,2835,0.3,170,161
北京,BJS,重庆,CKG,四川航空股份有限公司,3U8830,首都国际机场,江北国际机场,10:45,201712091045,13:20,201712091320,320,2017/12/09,2017/12/09,2528,0.5,160,155
北京,BJS,重庆,CKG,中国国际航空公司,CA4142,首都国际机场,江北国际机场,17:30,201711271730,20:00,201711272000,73G,2017/11/27,2017/11/27,1411,0.4,220,215
北京,BJS,重庆,CKG,上海航空公司,FM2285,南苑机场,江北国际机场,16:30,201711151630,18:55,201711151855,738,2017/11/15,2017/11/15,3106,0.24,210,207
北京,BJS,重庆,CKG,中国国际航空公司,CA4130,首都国际机场,江北国际机场,11:30,201711241130,14:00,201711241400,73G,2017/11/24,2017/11/24,2147,0.5,210,201
北京,BJS,重庆,CKG,中国国际航空公司,CA4138,首都国际机场,江北国际机场,12:30,201711301230,15:00,201711301500,738,2017/11/30,2017/11/30,1788,0.1,100,97
北京,BJS,重庆,CKG,中国国际航空公司,CA4140,首都国际机场,江北国际机场,18:30,201712271830,21:00,201712272100,738,2017/12/27,2017/12/27,2748,0.2,180,176
北京,BJS,重庆,CKG,四川航空股份有限公司,3U8834,首都国际机场,江北国际机场,21:35,201711252135,0:15,201711260015,320,2017/11/25,2017/11/26,1580,0,200,190
北京,BJS,达县,DAX,中国国际航空公司,CA4188,首都国际机场,达县机场,17:50,201712131750,20:10,201712132010,319,2017/12/13,2017/12/13,2599,0.1,270,261
北京,BJS,大连,DLC,中国国际航空公司,CA1641,首都国际机场,周水子机场,11:50,201712201150,13:10,201712201310,JET,2017/12/20,2017/12/20,2343,0,180,176
北京,BJS,大连,DLC,中国南方航空(集团)公司,CZ6126,首都国际机场,周水子机场,10:10,201711231010,11:30,201711231130,321,2017/11/23,2017/11/23,2064,0.2,120,112
北京,BJS,大连,DLC,中国国际航空公司,CA923,首都国际机场,周水子机场,7:35,201712160735,8:55,201712160855,738,2017/12/16,2017/12/16,1909,0.4,130,121
北京,BJS,大连,DLC,中国国际航空公司,CA153,首都国际机场,周水子机场,8:30,201711260830,9:45,201711260945,733,2017/11/26,2017/11/26,1816,0.1,100,92
北京,BJS,大连,DLC,中国南方航空(集团)公司,CZ6132,首都国际机场,周水子机场,8:40,201711210840,9:40,201711210940,321,2017/11/21,2017/11/21,3063,0.4,140,131
北京,BJS,大连,DLC,中国国际航空公司,CA953,首都国际机场,周水子机场,8:55,201711180855,10:20,201711181020,JET,2017/11/18,2017/11/18,1468,0.3,120,112
北京,BJS,大连,DLC,中国国际航空公司,CA1605,首都国际机场,周水子机场,10:30,201712041030,11:55,201712041155,JET,2017/12/04,2017/12/04,2483,0.1,240,231
北京,BJS,大连,DLC,中国南方航空(集团)公司,CZ6140,首都国际机场,周水子机场,12:50,201711221250,14:00,201711221400,321,2017/11/22,2017/11/22,3410,0.32,260,257
北京,BJS,大连,DLC,中国国际航空公司,CA962,首都国际机场,周水子机场,13:35,201711041335,14:55,201711041455,738,2017/11/04,2017/11/04,1804,0.2,100,96
北京,BJS,大连,DLC,中国南方航空(集团)公司,CZ6122,首都国际机场,周水子机场,16:05,201712151605,17:15,201712151715,321,2017/12/15,2017/12/15,2261,0,280,276
北京,BJS,大连,DLC,中国南方航空(集团)公司,CZ6134,首都国际机场,周水子机场,18:05,201711261805,19:10,201711261910,321,2017/11/26,2017/11/26,2499,0.3,190,180
北京,BJS,大连,DLC,中国国际航空公司,CA1699,首都国际机场,周水子机场,20:30,201712242030,21:45,201712242145,JET,2017/12/24,2017/12/24,2215,0.1,130,121
北京,BJS,大连,DLC,中国国际航空公司,CA1607,首都国际机场,周水子机场,13:35,201712261335,14:55,201712261455,738,2017/12/26,2017/12/26,1615,0.4,260,255
北京,BJS,大连,DLC,中国南方航空(集团)公司,CZ6138,首都国际机场,周水子机场,20:40,201711032040,22:00,201711032200,321,2017/11/03,2017/11/03,1567,0.5,180,174
北京,BJS,大连,DLC,大新华航空有限公司,CN7183,首都国际机场,周水子机场,22:00,201711032200,23:10,201711032310,738,2017/11/03,2017/11/03,3449,0.4,250,241
北京,BJS,大庆,DQA,中国国际航空公司,CA1695,首都国际机场,大庆萨尔图机场,13:30,201712281330,15:20,201712281520,733,2017/12/28,2017/12/28,1772,0.1,250,244
北京,BJS,大庆,DQA,中国南方航空(集团)公司,CZ6214,首都国际机场,大庆萨尔图机场,10:40,201711181040,12:30,201711181230,319,2017/11/18,2017/11/18,3042,0.27,280,270
北京,BJS,大庆,DQA,中国南方航空(集团)公司,CZ6216,首都国际机场,大庆萨尔图机场,19:10,201712131910,20:50,201712132050,320,2017/12/13,2017/12/13,2045,0.5,290,281
北京,BJS,大同,DAT,中国国际航空公司,CA1119,首都国际机场,大同机场,8:10,201711020810,9:10,201711020910,733,2017/11/02,2017/11/02,2576,0.37,160,152
北京,BJS,丹东,DDG,中国国际航空公司,CA1631,首都国际机场,浪头机场,10:30,201711301030,12:10,201711301210,733,2017/11/30,2017/11/30,3455,0.17,300,294
北京,BJS,鄂尔多斯,DSN,中国国际航空公司,CA1149,首都国际机场,鄂尔多斯机场,7:50,201711270750,9:20,201711270920,738,2017/11/27,2017/11/27,1362,0.4,100,93
北京,BJS,鄂尔多斯,DSN,中国国际航空公司,CA1143,首都国际机场,鄂尔多斯机场,18:10,201711101810,19:40,201711101940,JET,2017/11/10,2017/11/10,2966,0.4,190,182
北京,BJS,鄂尔多斯,DSN,上海航空公司,FM2941,南苑机场,鄂尔多斯机场,13:55,201711051355,15:00,201711051500,738,2017/11/05,2017/11/05,2625,0,110,100
北京,BJS,福州,FOC,中国国际航空公司,CA1505,首都国际机场,长乐机场,8:35,201711020835,11:05,201711021105,738,2017/11/02,2017/11/02,2494,0.41,280,275
北京,BJS,福州,FOC,中国国际航空公司,CA1807,首都国际机场,长乐机场,16:20,201712191620,18:50,201712191850,JET,2017/12/19,2017/12/19,3014,0.3,290,281
北京,BJS,福州,FOC,中国国际航空公司,CA1821,首都国际机场,长乐机场,20:00,201712062000,22:30,201712062230,738,2017/12/06,2017/12/06,1339,0.5,260,254
北京,BJS,福州,FOC,上海航空公司,FM2901,南苑机场,长乐机场,18:10,201712061810,20:40,201712062040,738,2017/12/06,2017/12/06,2276,0.3,300,294
北京,BJS,阜阳,FUG,上海航空公司,FM2947,南苑机场,阜阳机场,8:10,201712060810,9:20,201712060920,737,2017/12/06,2017/12/06,2968,0.1,240,233
北京,BJS,赣州,KOW,中国南方航空(集团)公司,CZ3255,首都国际机场,黄金机场,13:30,201712011330,15:55,201712011555,319,2017/12/01,2017/12/01,3552,0.1,110,102
北京,BJS,广元,GYS,中国国际航空公司,CA1457,首都国际机场,广元机场,12:10,201711161210,14:20,201711161420,73G,2017/11/16,2017/11/16,2699,0.3,220,211
北京,BJS,广州,CAN,中国南方航空(集团)公司,CZ323,首都国际机场,新白云国际机场,14:15,201712131415,17:20,201712131720,321,2017/12/13,2017/12/13,2365,0.5,160,155
北京,BJS,广州,CAN,中国南方航空(集团)公司,CZ3114,首都国际机场,新白云国际机场,21:15,201711302115,0:20,201711310020,77A,2017/11/30,###############################################################################################################################################################################################################################################################,1390,0.3,130,123
北京,BJS,广州,CAN,中国南方航空(集团)公司,CZ3110,首都国际机场,新白云国际机场,19:15,201711061915,22:05,201711062205,332,2017/11/06,2017/11/06,2334,0.2,160,152
北京,BJS,广州,CAN,中国南方航空(集团)公司,CZ371,首都国际机场,新白云国际机场,17:15,201712231715,20:20,201712232020,738,2017/12/23,2017/12/23,1527,0.2,280,273
北京,BJS,广州,CAN,中国国际航空公司,CA1301,首都国际机场,新白云国际机场,15:00,201711111500,18:00,201711111800,JET,2017/11/11,2017/11/11,2193,0.32,290,283
北京,BJS,广州,CAN,上海航空公司,FM2275,南苑机场,新白云国际机场,17:30,201712141730,19:55,201712141955,738,2017/12/14,2017/12/14,2196,0.3,210,200
北京,BJS,广州,CAN,中国南方航空(集团)公司,CZ3102,首都国际机场,新白云国际机场,12:15,201712211215,15:05,201712211505,77A,2017/12/21,2017/12/21,3329,0.1,180,172
北京,BJS,广州,CAN,中国南方航空(集团)公司,CZ3104,首都国际机场,新白云国际机场,15:15,201711171515,18:20,201711171820,77A,2017/11/17,2017/11/17,2508,0.2,110,106
北京,BJS,广州,CAN,中国国际航空公司,CA1351,首都国际机场,新白云国际机场,8:00,201712160800,11:00,201712161100,777,2017/12/16,2017/12/16,3525,0.2,200,191
北京,BJS,广州,CAN,中国国际航空公司,CA1321,首都国际机场,新白云国际机场,9:00,201712080900,12:00,201712081200,JET,2017/12/08,2017/12/08,1863,0.22,300,297
北京,BJS,广州,CAN,中国南方航空(集团)公司,CZ3108,首都国际机场,新白云国际机场,9:15,201711090915,12:20,201711091220,332,2017/11/09,2017/11/09,2157,0.3,300,296
北京,BJS,广州,CAN,中国南方航空(集团)公司,CZ346,首都国际机场,新白云国际机场,16:15,201712121615,19:05,201712121905,77B,2017/12/12,2017/12/12,2619,0.5,220,217
北京,BJS,广州,CAN,中国南方航空(集团)公司,CZ3162,首都国际机场,新白云国际机场,10:15,201712121015,13:10,201712121310,321,2017/12/12,2017/12/12,3166,0.3,130,127
北京,BJS,广州,CAN,中国国际航空公司,CA1309,首都国际机场,新白云国际机场,18:00,201711131800,21:00,201711132100,JET,2017/11/13,2017/11/13,2011,0.3,100,93
北京,BJS,广州,CAN,中国南方航空(集团)公司,CZ3112,首都国际机场,新白云国际机场,11:15,201712291115,14:25,201712291425,332,2017/12/29,2017/12/29,3726,0,220,216
北京,BJS,广州,CAN,中国南方航空(集团)公司,CZ3106,首都国际机场,新白云国际机场,13:15,201711221315,16:15,201711221615,JET,2017/11/22,2017/11/22,1850,0,290,284
北京,BJS,广州,CAN,中国国际航空公司,CA1339,首都国际机场,新白云国际机场,12:00,201711251200,15:00,201711251500,738,2017/11/25,2017/11/25,2872,0.2,220,215
北京,BJS,贵阳,KWE,中国国际航空公司,CA4162,首都国际机场,龙洞堡机场,12:15,201712081215,15:15,201712081515,733,2017/12/08,2017/12/08,2921,0.4,230,225
北京,BJS,贵阳,KWE,中国国际航空公司,CA1461,首都国际机场,龙洞堡机场,7:45,201712110745,10:45,201712111045,738,2017/12/11,2017/12/11,2732,0.2,240,235
北京,BJS,贵阳,KWE,中国南方航空(集团)公司,CZ3682,首都国际机场,龙洞堡机场,9:05,201712130905,12:00,201712131200,738,2017/12/13,2017/12/13,2066,0.13,150,147
北京,BJS,贵阳,KWE,中国国际航空公司,CA1437,首都国际机场,龙洞堡机场,16:10,201712231610,19:00,201712231900,738,2017/12/23,2017/12/23,2093,0.2,200,195
北京,BJS,贵阳,KWE,中国南方航空(集团)公司,CZ6188,首都国际机场,龙洞堡机场,19:25,201711031925,22:25,201711032225,738,2017/11/03,2017/11/03,2328,0,120,116
北京,BJS,贵阳,KWE,中国南方航空(集团)公司,CZ3688,首都国际机场,龙洞堡机场,11:55,201711271155,14:55,201711271455,73G,2017/11/27,2017/11/27,1927,0.1,200,192
北京,BJS,贵阳,KWE,中国国际航空公司,CA4166,首都国际机场,龙洞堡机场,19:40,201712141940,22:45,201712142245,733,2017/12/14,2017/12/14,2021,0.1,140,134
北京,BJS,桂林,KWL,中国国际航空公司,CA1311,首都国际机场,两江国际机场,7:50,201712280750,10:40,201712281040,JET,2017/12/28,2017/12/28,2026,0.4,190,184
北京,BJS,桂林,KWL,大新华航空有限公司,CN7215,首都国际机场,两江国际机场,9:20,201711010920,12:20,201711011220,738,2017/11/01,2017/11/01,3049,0.3,210,206
北京,BJS,桂林,KWL,中国南方航空(集团)公司,CZ3288,首都国际机场,两江国际机场,22:10,201712262210,0:50,201712270050,738,2017/12/26,2017/12/27,3521,0.1,150,143
北京,BJS,桂林,KWL,中国国际航空公司,CA1225,首都国际机场,两江国际机场,15:30,201712031530,20:10,201712032010,738,2017/12/03,2017/12/03,2522,0.2,100,92
北京,BJS,桂林,KWL,中国国际航空公司,CA1471,首都国际机场,两江国际机场,11:50,201711191150,14:55,201711191455,320,2017/11/19,2017/11/19,2759,0.27,160,156
北京,BJS,桂林,KWL,中国南方航空(集团)公司,CZ3282,首都国际机场,两江国际机场,14:05,201711221405,17:10,201711221710,738,2017/11/22,2017/11/22,2022,0.3,160,152
北京,BJS,哈尔滨,HRB,中国南方航空(集团)公司,CZ6204,首都国际机场,太平机场,17:10,201712071710,18:40,201712071840,320,2017/12/07,2017/12/07,2150,0.2,210,201
北京,BJS,哈尔滨,HRB,中国南方航空(集团)公司,CZ6218,首都国际机场,太平机场,18:05,201712161805,19:45,201712161945,320,2017/12/16,2017/12/16,2797,0.1,250,240
北京,BJS,哈尔滨,HRB,中国南方航空(集团)公司,CZ6657,首都国际机场,太平机场,7:35,201711050735,9:20,201711050920,320,2017/11/05,2017/11/05,2705,0.2,220,215
北京,BJS,哈尔滨,HRB,中国国际航空公司,CA1603,首都国际机场,太平机场,8:10,201711120810,9:40,201711120940,738,2017/11/12,2017/11/12,1812,0.5,140,136
北京,BJS,哈尔滨,HRB,大新华航空有限公司,CN7127,首都国际机场,太平机场,8:25,201712020825,10:00,201712021000,738,2017/12/02,2017/12/02,1619,0.43,140,131
